종목명,현재가,전일비,등락률,거래량,거래대금,link
KODEX CD금리액티브(합성),"1,057,070",80,+0.01%,+0.81%,"148,553",https://finance.naver.com/item/main.naver?code=459580
TIGER CD금리투자KIS(합성),"55,395",0,0.00%,+0.79%,"93,615",https://finance.naver.com/item/main.naver?code=357870
TIGER 미국S&P500,"21,670",45,+0.21%,+16.96%,"1,899,338",https://finance.naver.com/item/main.naver?code=360750
KODEX 200,"33,150",30,+0.09%,-3.64%,"1,843,185",https://finance.naver.com/item/main.naver?code=069500
KODEX KOFR금리액티브(합성),"108,950",10,+0.01%,+0.81%,"15,899",https://finance.naver.com/item/main.naver?code=423160
TIGER 미국나스닥100,"139,465",995,+0.72%,+20.51%,"114,690",https://finance.naver.com/item/main.naver?code=133690
KODEX 머니마켓액티브,"101,405",5,0.00%,+0.90%,"29,319",https://finance.naver.com/item/main.naver?code=488770
TIGER KOFR금리액티브(합성),"107,470",15,+0.01%,+0.80%,"52,138",https://finance.naver.com/item/main.naver?code=449170
TIGER 미국테크TOP10 INDXX,"25,260",95,+0.38%,+26.43%,"489,270",https://finance.naver.com/item/main.naver?code=381170
KODEX 미국S&P500TR,"19,885",65,+0.33%,+16.90%,"1,507,383",https://finance.naver.com/item/main.naver?code=379800
KODEX 종합채권(AA-이상)액티브,"117,130",250,-0.21%,+2.49%,"11,784",https://finance.naver.com/item/main.naver?code=273130
TIGER 미국필라델피아반도체나스..,"19,555",420,+2.19%,+11.19%,"949,513",https://finance.naver.com/item/main.naver?code=381180
KODEX 레버리지,"14,920",20,+0.13%,-8.98%,"9,517,341",https://finance.naver.com/item/main.naver?code=122630
KODEX 200TR,"11,630",0,0.00%,-3.37%,"129,633",https://finance.naver.com/item/main.naver?code=278530
RISE 머니마켓액티브,"53,395",0,0.00%,+0.90%,"87,161",https://finance.naver.com/item/main.naver?code=455890
TIGER 200,"33,205",30,+0.09%,-3.65%,"301,400",https://finance.naver.com/item/main.naver?code=102110
