업종코드,업종명,전일비,전체,상승,보합,하락,등락그래프
307,전자제품,+5.29%,19,12,2,5,85%
273,자동차,+5.15%,15,11,1,3,83%
298,가정용기기와용품,+3.24%,20,10,1,9,52%
326,항공화물운송과물류,+3.18%,14,10,1,3,51%
270,자동차부품,+2.71%,152,111,13,28,43%
301,은행,+2.53%,11,9,0,2,41%
292,핸드셋,+2.44%,64,39,6,19,39%
321,증권,+2.42%,38,30,4,4,39%
327,디스플레이패널,+2.13%,4,3,1,0,34%
299,기계,+1.97%,101,56,11,34,31%
305,항공사,+1.82%,9,6,3,0,29%
285,방송과엔터테인먼트,+1.79%,57,34,8,15,29%
339,다각화된소비자서비스,+1.53%,1,1,0,0,24%
261,제약,+1.51%,182,95,16,71,24%
272,화학,+1.44%,121,84,7,30,23%
330,생명보험,+1.38%,4,3,1,0,22%
282,전자장비와기기,+1.35%,108,56,15,37,21%
315,손해보험,+1.34%,11,8,1,2,21%
294,통신장비,+1.28%,51,26,5,20,20%
304,철강,+1.25%,57,31,3,23,20%
300,양방향미디어와서비스,+1.25%,17,7,2,8,20%
290,교육서비스,+1.22%,23,13,3,7,19%
264,백화점과일반상점,+1.19%,15,11,1,3,19%
297,가정용품,+1.17%,11,7,3,1,18%
302,식품과기본식료품소매,+1.10%,8,6,0,2,17%
265,판매업체,+1.08%,10,7,1,2,17%
291,조선,+0.93%,24,17,1,6,15%
269,디스플레이장비및부품,+0.91%,77,46,6,25,14%
278,반도체와반도체장비,+0.89%,160,99,11,50,14%
279,건설,+0.89%,80,44,9,27,14%
289,건축자재,+0.80%,52,35,2,15,12%
333,무선통신서비스,+0.78%,3,3,0,0,12%
317,"호텔,레스토랑,레저",+0.78%,19,13,2,4,12%
324,상업서비스와공급품,+0.76%,31,15,4,12,12%
283,전기제품,+0.75%,72,43,9,20,12%
267,IT서비스,+0.74%,101,44,6,51,12%
331,복합유틸리티,+0.73%,1,1,0,0,11%
325,전기유틸리티,+0.71%,5,3,1,1,11%
320,건축제품,+0.68%,13,7,1,5,11%
316,건강관리업체및서비스,+0.66%,12,5,1,6,10%
293,컴퓨터와주변기기,+0.65%,23,12,4,7,10%
276,복합기업,+0.64%,25,12,2,11,10%
334,무역회사와판매업체,+0.60%,5,3,0,2,9%
336,다각화된통신서비스,+0.58%,4,3,0,1,9%
274,"섬유,의류,신발,호화품",+0.56%,84,50,6,28,9%
332,문구류,+0.45%,1,1,0,0,7%
296,운송인프라,+0.38%,10,7,2,1,6%
328,전문소매,+0.31%,6,2,2,2,5%
275,담배,+0.27%,1,1,0,0,4%
268,식품,+0.20%,89,56,3,30,3%
25,기타,+0.18%,1340,677,149,514,2%
280,부동산,+0.17%,28,15,2,11,2%
310,광고,+0.14%,16,10,0,6,2%
309,음료,+0.05%,16,10,1,5,0%
295,에너지장비및서비스,+0.02%,28,13,2,13,0%
314,출판,-0.04%,7,3,0,4,0%
313,석유와가스,-0.05%,21,12,2,7,0%
319,기타금융,-0.15%,5,2,1,2,2%
311,포장재,-0.17%,27,16,2,9,2%
318,종이와목재,-0.20%,18,10,4,4,3%
262,생명과학도구및서비스,-0.32%,41,12,8,21,5%
312,가스유틸리티,-0.33%,12,8,0,4,5%
271,레저용장비와제품,-0.34%,13,5,1,7,5%
323,해운사,-0.38%,11,5,3,3,6%
329,도로와철도운송,-0.44%,7,3,0,4,7%
266,화장품,-0.47%,65,28,7,30,7%
284,우주항공과국방,-0.62%,28,13,5,10,10%
281,건강관리장비와용품,-0.72%,93,31,15,47,11%
277,창업투자,-0.88%,120,47,36,37,14%
337,카드,-0.98%,1,0,0,1,15%
338,사무용전자제품,-1.06%,1,0,0,1,17%
263,게임엔터테인먼트,-1.38%,36,14,3,19,22%
286,생물공학,-1.43%,61,20,6,35,23%
303,가구,-1.56%,12,5,0,7,25%
287,소프트웨어,-2.08%,76,28,7,41,33%
306,전기장비,-2.41%,31,12,3,16,39%
308,인터넷과카탈로그소매,-2.54%,7,2,1,4,41%
322,비철금속,-2.86%,43,27,1,15,46%
288,건강관리기술,-6.16%,12,4,0,8,100%
